countrycode,continentcode,continent,,,,,
KEN,AF,Africa,,,,,
KGZ,AS,Asia,,,,,
KHM,AS,Asia,,,,,
KOR,AS,Asia,,,,,
KWT,AS,Asia,,,,,
LAO,AS,Asia,,,,,
LBN,AS,Asia,,,,,
LBR,AF,Africa,,,,,
LCA,NA,North America,,,,,
LKA,AS,Asia,,,,,
LSO,AF,Africa,,,,,
LTU,EU,Europe,,,,,
LUX,EU,Europe,,,,,
LVA,EU,Europe,,,,,
MAC,AS,Asia,,,,,
MAR,AF,Africa,,,,,
MDA,EU,Europe,,,,,
MDG,AF,Africa,,,,,
MDV,AS,Asia,,,,,
MEX,NA,North America,,,,,
MKD,EU,Europe,,,,,
MLI,AF,Africa,,,,,
MLT,EU,Europe,,,,,
MMR,AS,Asia,,,,,
MNE,EU,Europe,,,,,
MNG,AS,Asia,,,,,
MOZ,AF,Africa,,,,,
MRT,AF,Africa,,,,,
MSR,NA,North America,,,,,
MUS,AF,Africa,,,,,
MWI,AF,Africa,,,,,
MYS,AS,Asia,,,,,
NAM,AF,Africa,,,,,
NER,AF,Africa,,,,,
NGA,AF,Africa,,,,,
NIC,NA,North America,,,,,
NLD,EU,Europe,,,,,
NOR,EU,Europe,,,,,
NPL,AS,Asia,,,,,
NZL,OC,Oceania,,,,,
OMN,AS,Asia,,,,,
PAK,AS,Asia,,,,,
PAN,NA,North America,,,,,
PER,SA,South America,,,,,
PHL,AS,Asia,,,,,
POL,EU,Europe,,,,,
PRT,EU,Europe,,,,,
PRY,SA,South America,,,,,
PSE,AS,Asia,,,,,
QAT,AS,Asia,,,,,
ROU,EU,Europe,,,,,
RUS,EU,Europe,,,,,
RWA,AF,Africa,,,,,
SAU,AS,Asia,,,,,
SDN,AF,Africa,,,,,
SEN,AF,Africa,,,,,
SGP,AS,Asia,,,,,
SLE,AF,Africa,,,,,
SLV,NA,North America,,,,,
SRB,EU,Europe,,,,,
STP,AF,Africa,,,,,
SUR,SA,South America,,,,,
SVK,EU,Europe,,,,,
SVN,EU,Europe,,,,,
SWE,EU,Europe,,,,,
SWZ,AF,Africa,,,,,
SYC,AF,Africa,,,,,
SYR,AS,Asia,,,,,
TCA,NA,North America,,,,,
TCD,AF,Africa,,,,,
TGO,AF,Africa,,,,,
THA,AS,Asia,,,,,
TJK,AS,Asia,,,,,
TKM,AS,Asia,,,,,
TTO,NA,North America,,,,,
TUN,AF,Africa,,,,,
TUR,AS,Asia,,,,,
TWN,AS,Asia,,,,,
TZA,AF,Africa,,,,,
UGA,AF,Africa,,,,,
UKR,EU,Europe,,,,,
URY,SA,South America,,,,,
USA,NA,North America,,,,,
UZB,AS,Asia,,,,,
VCT,NA,North America,,,,,
VEN,SA,South America,,,,,
VGB,NA,North America,,,,,
VNM,AS,Asia,,,,,
YEM,AS,Asia,,,,,
ZAF,AF,Africa,,,,,
ZMB,AF,Africa,,,,,
ZWE,AF,Africa,,,,,
